,intent,statement,response
0,greeting,hello,Hello
1,greeting,hello,Hi
2,greeting,hi,Hi there
3,greeting,hi,Hello
4,greeting,hey,Hey
5,greeting,hey,Hi
6,greeting,good morning,Good morning
7,greeting,good morning,Morning
8,greeting,good afternoon,Good afternoon
9,greeting,good afternoon,Afternoon
10,greeting,good evening,Good evening
11,greeting,good evening,Evening
12,greeting,howdy,Howdy
13,greeting,howdy,Hello
14,greeting,greetings,Greetings
15,greeting,greetings,Hello
16,greeting,nice to meet you,Nice to meet you
17,greeting,nice to meet you,Pleasure to meet you
18,greeting,hey there,Hey there
19,greeting,hey there,Hello
20,greeting,good to see you,Good to see you
21,greeting,good to see you,Nice to see you
22,greeting,how are you,"I'm good, thank you"
23,greeting,how are you,"I'm doing well, thanks"
24,greeting,what's up,"Not much, just chilling"
25,greeting,what's up,Just hanging out
26,greeting,yo,Yo
27,greeting,yo,Hey
28,greeting,good day,Good day
29,greeting,good day,Hello
30,greeting,morning,Morning
31,greeting,morning,Good morning
32,greeting,afternoon,Afternoon
33,greeting,afternoon,Good afternoon
34,greeting,evening,Evening
35,greeting,evening,Good evening
36,greeting,hiya,Hiya
37,greeting,hiya,Hello
38,greeting,salutations,Salutations
39,greeting,salutations,Hello
40,greeting,hola,Hola
41,greeting,hola,"Hola, Â¿cÃ³mo estÃ¡s?"
42,greeting,bonjour,Bonjour
43,greeting,bonjour,Salut
44,greeting,ciao,Ciao
45,greeting,ciao,Salve
46,greeting,namaste,Namaste
47,greeting,namaste,Namaskar
48,greeting,kon'nichiwa,Kon'nichiwa
49,greeting,kon'nichiwa,"Konnichiwa, genki desu ka?"
50,greeting,hallo,Hallo
51,greeting,hallo,Guten Tag
52,greeting,privet,Privet
53,greeting,privet,Zdravstvuyte
54,greeting,salam,Salam
55,greeting,salam,"Salam, chetori?"
56,greeting,hei,Hei
57,greeting,hei,"Hei, hvordan gÃ¥r det?"
58,greeting,hoi,Hoi
59,greeting,hoi,Hallo
60,greeting,xin chÃ o,Xin chÃ o
61,greeting,xin chÃ o,ChÃ o báº¡n
62,greeting,merhaba,Merhaba
63,greeting,merhaba,Selam
64,greeting,szia,Szia
65,greeting,szia,"Szia, hogy vagy?"
66,greeting,marhaba,Marhaba
67,greeting,marhaba,Merhaba
68,greeting,hujambo,Hujambo
69,greeting,hujambo,Salamu
70,greeting,sawubona,Sawubona
71,greeting,sawubona,Yebo
72,greeting,jambo,Jambo
73,greeting,jambo,Habari
74,greeting,olÃ¡,OlÃ¡
75,greeting,olÃ¡,Oi
76,greeting,privit,Privit
77,greeting,privit,Salut
78,greeting,sveiki,Sveiki
79,greeting,sveiki,Labdien
80,greeting,kaixo,Kaixo
81,greeting,kaixo,Egun on
82,greeting,szervusz,Szervusz
83,greeting,szervusz,ÃœdvÃ¶zÃ¶llek
84,greeting,saluton,Saluton
85,greeting,saluton,Bonan tagon
86,greeting,labas,Labas
87,greeting,labas,Sveiki
88,calculate,What is the result of 10 plus NaN?,The result is NaN.
89,calculate,What is NaN multiplied by 5?,The result is NaN.
90,calculate,Divide NaN by 2.,The result is NaN.
91,calculate,Subtract 7 from NaN.,The result is NaN.
92,calculate,What is NaN squared?,The result is NaN.
93,calculate,Find the square root of NaN.,The result is NaN.
94,calculate,What is NaN modulo 3?,The result is NaN.
95,calculate,Multiply NaN by NaN.,The result is NaN.
96,calculate,Calculate NaN raised to the power of 4.,The result is NaN.
97,calculate,What is the value of NaN plus 10?,The result is NaN.
98,calculate,Divide 20 by NaN.,The result is NaN.
99,calculate,Subtract NaN from 5.,The result is NaN.
100,calculate,Find the cube root of NaN.,The result is NaN.
101,calculate,What is the result of NaN plus NaN?,The result is NaN.
102,calculate,Multiply NaN by 10.,The result is NaN.
103,calculate,What is NaN divided by NaN?,The result is NaN.
104,calculate,Calculate NaN raised to the power of NaN.,The result is NaN.
105,calculate,What is the value of NaN minus 3?,The result is NaN.
106,calculate,Divide 15 by NaN.,The result is NaN.
107,calculate,Subtract NaN from 10.,The result is NaN.
108,calculate,Find the square root of NaN minus 7.,The result is NaN.
109,calculate,What is the result of NaN modulo 4?,The result is NaN.
110,calculate,Multiply NaN by 3.5.,The result is NaN.
111,calculate,What is NaN divided by 10?,The result is NaN.
112,calculate,Calculate NaN raised to the power of 3.,The result is NaN.
113,calculate,What is the value of NaN plus 5?,The result is NaN.
114,calculate,Divide 25 by NaN.,The result is NaN.
115,calculate,Subtract NaN from 12.,The result is NaN.
116,calculate,Find the square root of NaN plus 3.,The result is NaN.
117,calculate,What is the result of NaN modulo 2?,The result is NaN.
118,calculate,Multiply NaN by 6.,The result is NaN.
119,calculate,What is NaN divided by NaN?,The result is NaN.
120,calculate,Calculate NaN raised to the power of NaN.,The result is NaN.
121,calculate,What is the value of NaN minus 2?,The result is NaN.
122,calculate,Divide 18 by NaN.,The result is NaN.
123,calculate,Subtract NaN from 7.,The result is NaN.
124,calculate,Find the square root of NaN minus 5.,The result is NaN.
125,calculate,What is the result of NaN modulo 3?,The result is NaN.
126,calculate,Multiply NaN by 4.5.,The result is NaN.
127,calculate,What is NaN divided by 7?,The result is NaN.
128,calculate,Calculate NaN raised to the power of 2.,The result is NaN.
129,calculate,What is the value of NaN plus 8?,The result is NaN.
130,calculate,Divide 30 by NaN.,The result is NaN.
131,calculate,Subtract NaN from 15.,The result is NaN.
132,calculate,Find the square root of NaN plus 2.,The result is NaN.
133,calculate,What is the result of NaN modulo 5?,The result is NaN.
134,calculate,Multiply NaN by 9.2.,The result is NaN.
135,calculate,What is NaN divided by NaN?,The result is NaN.
136,calculate,Calculate NaN raised to the power of NaN.,The result is NaN.
137,calculate,What is the value of NaN minus 4?,The result is NaN.
138,calculate,Divide 12 by NaN.,The result is NaN.
139,calculate,Subtract NaN from 9.,The result is NaN.
140,calculate,Find the square root of NaN minus 3.,The result is NaN.
141,calculate,What is the result of NaN modulo 4?,The result is NaN.
142,calculate,Multiply NaN by 7.8.,The result is NaN.
143,translate,Translate 'Hello' to NaN.,Translation to NaN is not supported.
144,translate,How do you say 'Goodbye' in NaN?,Translation to NaN is not available.
145,translate,Can you translate 'Thank you' to NaN?,Translation to NaN is not possible.
146,translate,What is the translation of 'Yes' in NaN?,Translation to NaN is not supported.
147,translate,Translate the word 'Love' to NaN.,NaN translation is not available.
148,translate,How do you say 'Sorry' in NaN?,Translation to NaN is not possible.
149,translate,Can you translate 'Good morning' to NaN?,Translation to NaN is not supported.
150,translate,What is the translation of 'No' in NaN?,Translation to NaN is not available.
151,translate,Translate 'Please' to NaN.,NaN translation is not possible.
152,translate,How do you say 'Congratulations' in NaN?,Translation to NaN is not supported.
153,translate,Can you translate 'Goodnight' to NaN?,Translation to NaN is not available.
154,translate,What is the translation of 'Help' in NaN?,Translation to NaN is not possible.
155,translate,Translate the word 'Friend' to NaN.,NaN translation is not supported.
156,translate,How do you say 'Beautiful' in NaN?,Translation to NaN is not possible.
157,translate,Can you translate 'Good afternoon' to NaN?,Translation to NaN is not supported.
158,translate,What is the translation of 'Maybe' in NaN?,Translation to NaN is not available.
159,translate,Translate 'Thank you very much' to NaN.,NaN translation is not possible.
160,translate,How do you say 'Excuse me' in NaN?,Translation to NaN is not supported.
161,translate,Can you translate 'Good evening' to NaN?,Translation to NaN is not available.
162,translate,"What is the translation of 'Yes, please' in NaN?",Translation to NaN is not possible.
163,translate,Translate the word 'Family' to NaN.,NaN translation is not supported.
164,translate,How do you say 'Thank you' in NaN?,Translation to NaN is not possible.
165,translate,"Can you translate 'Goodnight, sleep tight' to NaN?",Translation to NaN is not supported.
166,translate,"What is the translation of 'Hello, how are you?' in NaN?",Translation to NaN is not available.
167,translate,Translate 'Please wait' to NaN.,NaN translation is not possible.
168,translate,How do you say 'Congratulations on your success' in NaN?,Translation to NaN is not supported.
169,translate,Can you translate 'Good luck' to NaN?,Translation to NaN is not available.
170,translate,What is the translation of 'I love you' in NaN?,Translation to NaN is not possible.
171,translate,Translate the word 'Food' to NaN.,NaN translation is not supported.
172,translate,"How do you say 'Excuse me, where is the restroom?' in NaN?",Translation to NaN is not available.
173,translate,"Can you translate 'Goodbye, take care' to NaN?",Translation to NaN is not supported.
174,translate,What is the translation of 'Nice to meet you' in NaN?,Translation to NaN is not possible.
175,translate,Translate 'I'm sorry' to NaN.,NaN translation is not available.
176,translate,How do you say 'Happy birthday' in NaN?,Translation to NaN is not supported.
177,translate,"Can you translate 'Good morning, have a great day' to NaN?",Translation to NaN is not possible.
178,translate,What is the translation of 'Where is the nearest bus stop?' in NaN?,Translation to NaN is not supported.
179,translate,Translate 'I need help' to NaN.,NaN translation is not available.
180,translate,"How do you say 'I'm sorry, I don't understand' in NaN?",Translation to NaN is not supported.
181,translate,"Can you translate 'Good evening, have a pleasant night' to NaN?",Translation to NaN is not possible.
182,translate,What is the translation of 'How are you?' in NaN?,Translation to NaN is not available.
183,check_weather,What's the weather like in NaN today?,Weather information for NaN is not available.
184,check_weather,Is it going to rain in NaN tomorrow?,Weather forecast for NaN is not provided.
185,check_weather,Give me the weather update for NaN next week.,Weather data for NaN is not accessible.
186,check_weather,Tell me the current temperature in NaN.,Temperature information for NaN is unavailable.
187,check_weather,What's the weather forecast for NaN this weekend?,Weather report for NaN is not provided.
188,check_weather,Will it be sunny in NaN next Monday?,Weather information for NaN is not available.
189,check_weather,Give me the weather conditions in NaN for the next few days.,Weather data for NaN is not accessible.
190,check_weather,Is it windy in NaN today?,Wind information for NaN is not provided.
191,check_weather,What's the temperature in NaN right now?,Temperature data for NaN is not available.
192,check_weather,Tell me if it will be cloudy in NaN this afternoon.,Weather forecast for NaN is not provided.
193,check_weather,Will it rain in NaN on Friday?,Weather information for NaN is not available.
194,check_weather,Give me the weather update for NaN tomorrow morning.,Weather data for NaN is not accessible.
195,check_weather,What's the current weather condition in NaN?,Weather information for NaN is not available.
196,check_weather,Is it going to be hot in NaN next week?,Weather forecast for NaN is not provided.
197,check_weather,Tell me the weather forecast in NaN for the next 10 days.,Weather report for NaN is not provided.
198,check_weather,Will it snow in NaN this winter?,Weather information for NaN is not available.
199,check_weather,Give me the weather update for NaN tonight.,Weather data for NaN is not accessible.
200,check_weather,What's the humidity level in NaN right now?,Humidity information for NaN is not provided.
201,check_weather,Tell me if it will be rainy in NaN this evening.,Weather forecast for NaN is not provided.
202,check_weather,Will it be sunny in NaN on Saturday?,Weather information for NaN is not available.
203,check_weather,Give me the weather conditions in NaN for the next month.,Weather data for NaN is not accessible.
204,check_weather,Is it windy in NaN right now?,Wind information for NaN is not provided.
205,check_weather,What's the temperature in NaN tomorrow?,Temperature data for NaN is not available.
206,check_weather,Tell me if it will be cloudy in NaN tomorrow.,Weather forecast for NaN is not provided.
207,check_weather,Will it rain in NaN next Wednesday?,Weather information for NaN is not available.
208,check_weather,Give me the weather update for NaN this afternoon.,Weather data for NaN is not accessible.
209,check_weather,What's the current weather condition in NaN right now?,Weather information for NaN is not available.
210,check_weather,Is it going to be hot in NaN tomorrow?,Weather forecast for NaN is not provided.
211,check_weather,Tell me the weather forecast in NaN for the next week.,Weather report for NaN is not provided.
212,check_weather,Will it snow in NaN next month?,Weather information for NaN is not available.
213,check_weather,Give me the weather update for NaN this evening.,Weather data for NaN is not accessible.
214,check_weather,What's the humidity level in NaN tomorrow?,Humidity information for NaN is not provided.
215,check_weather,Tell me if it will be rainy in NaN tomorrow.,Weather forecast for NaN is not provided.
216,check_weather,Will it be sunny in NaN next Sunday?,Weather information for NaN is not available.
217,check_weather,Give me the weather conditions in NaN for the next year.,Weather data for NaN is not accessible.
218,check_weather,Is it windy in NaN tomorrow?,Wind information for NaN is not provided.
219,check_weather,What's the temperature in NaN next week?,Temperature data for NaN is not available.
220,check_weather,Tell me if it will be cloudy in NaN next Tuesday.,Weather forecast for NaN is not provided.
221,check_weather,Will it rain in NaN next month?,Weather information for NaN is not available.
